STOP_FRISK_ID,STOP_FRISK_TIME,MONTH2,DAY2,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME
1,14:26:00,January,Monday,TERRORISM,90,N,N,(null),39,MALE,(null),MANHATTAN
2,14:26:00,January,Monday,TERRORISM,90,N,N,(null),37,MALE,(null),MANHATTAN
3,11:10:00,February,Wednesday,OTHER,40,N,N,(null),(null),FEMALE,WHITE,MANHATTAN
4,11:35:00,February,Monday,GRAND LARCENY AUTO,40,N,Y,(null),31,MALE,BLACK HISPANIC,MANHATTAN
5,13:20:00,February,Tuesday,BURGLARY,60,N,N,(null),(null),FEMALE,BLACK,MANHATTAN
6,21:25:00,February,Friday,CPW,10,Y,Y,(null),39,MALE,WHITE HISPANIC,MANHATTAN
7,20:00:00,February,Saturday,CPW,3,N,N,(null),19,FEMALE,BLACK,MANHATTAN
8,19:58:00,February,Saturday,CPW,3,N,Y,(null),15,FEMALE,BLACK,MANHATTAN
9,13:15:00,February,Tuesday,BURGLARY,20,N,Y,(null),43,MALE,BLACK,MANHATTAN
10,8:16:00,March,Friday,CRIMINAL MISCHIEF,3,Y,Y,(null),33,MALE,BLACK,MANHATTAN
11,18:44:00,March,Thursday,ASSAULT,10,N,Y,(null),31,MALE,BLACK,MANHATTAN
12,22:30:00,March,Thursday,ROBBERY,10,N,Y,(null),47,MALE,WHITE HISPANIC,MANHATTAN
13,4:45:00,March,Friday,CPW,3,N,Y,(null),19,MALE,BLACK,MANHATTAN
14,18:30:00,April,Sunday,CRIMINAL MISCHIEF,10,N,N,(null),18,MALE,WHITE,MANHATTAN
15,0:00:00,April,Sunday,CRIMINAL MISCHIEF,10,N,N,(null),19,MALE,WHITE,MANHATTAN
16,9:58:00,April,Tuesday,CPW,3,N,Y,(null),47,MALE,WHITE HISPANIC,MANHATTAN
17,11:15:00,March,Friday,GRAND LARCENY,10,Y,Y,(null),32,MALE,WHITE,MANHATTAN
18,13:00:00,April,Thursday,TERRORISM,5,N,N,(null),40,FEMALE,WHITE,MANHATTAN
19,8:00:00,April,Tuesday,MURDER,5,N,Y,(null),45,MALE,BLACK,MANHATTAN
20,14:57:00,May,Saturday,ROBBERY,6,Y,Y,(null),34,MALE,BLACK HISPANIC,MANHATTAN
21,4:15:00,May,Wednesday,GRAND LARCENY,15,N,Y,(null),41,MALE,WHITE HISPANIC,MANHATTAN
22,2:00:00,May,Wednesday,ASSAULT,50,N,N,(null),26,MALE,WHITE,MANHATTAN
23,2:20:00,May,Wednesday,ASSAULT,50,N,N,(null),28,MALE,WHITE,MANHATTAN
24,2:20:00,May,Sunday,ASSAULT,50,N,N,(null),28,MALE,WHITE,MANHATTAN
25,2:20:00,May,Wednesday,ASSAULT,50,N,N,(null),34,MALE,WHITE,MANHATTAN
26,10:20:00,May,Wednesday,CPW,10,N,N,(null),(null),MALE,WHITE,MANHATTAN
27,23:25:00,June,Thursday,ASSAULT,5,N,N,(null),37,MALE,BLACK,MANHATTAN
28,16:12:00,June,Tuesday,PETIT LARCENY,5,Y,Y,(null),33,FEMALE,BLACK,MANHATTAN
29,21:58:00,July,Thursday,CPW,5,N,Y,(null),60,MALE,BLACK,MANHATTAN
30,13:15:00,July,Wednesday,ASSAULT,3,N,N,(null),33,MALE,BLACK,MANHATTAN
31,16:30:00,August,Wednesday,THEFT OF SERVICES,1,N,N,(null),30,MALE,BLACK,MANHATTAN
32,1:30:00,August,Wednesday,ROBBERY,10,N,Y,(null),40,MALE,BLACK,MANHATTAN
33,2:30:00,September,Wednesday,BURGLARY,37,N,N,(null),22,MALE,WHITE HISPANIC,MANHATTAN
34,2:30:00,September,Wednesday,BURGLARY,37,N,N,(null),29,MALE,WHITE HISPANIC,MANHATTAN
35,23:28:00,August,Monday,CPW,36,N,Y,(null),58,MALE,WHITE,MANHATTAN
36,1:25:00,September,Friday,ASSAULT,25,N,N,(null),19,MALE,BLACK,MANHATTAN
37,1:25:00,September,Friday,ASSAULT,25,N,N,(null),20,MALE,BLACK,MANHATTAN
38,1:25:00,September,Friday,ASSAULT,25,N,N,(null),19,FEMALE,WHITE HISPANIC,MANHATTAN
39,20:35:00,September,Friday,ASSAULT,4,N,N,(null),29,MALE,BLACK,MANHATTAN
40,8:25:00,September,Wednesday,OTHER,10,N,N,(null),27,MALE,WHITE,MANHATTAN
41,9:35:00,October,Thursday,MENACING,15,N,Y,(null),54,MALE,BLACK,MANHATTAN
42,13:10:00,October,Wednesday,ROBBERY,5,N,N,(null),18,MALE,BLACK,MANHATTAN
43,13:00:00,October,Friday,PETIT LARCENY,13,Y,Y,(null),26,MALE,WHITE HISPANIC,MANHATTAN
44,14:40:00,October,Friday,ASSAULT,10,N,N,(null),17,MALE,BLACK,MANHATTAN
